Vardas         Pavarde             ND1  ND2  ND3  ND4  ND5  Egz  
Vardas137      Pavarde137          6    9    1    4    7    6    
Vardas323      Pavarde323          8    7    3    3    7    10   
Vardas161      Pavarde161          3    4    1    3    4    6    
Vardas758      Pavarde758          2    7    9    5    8    3    
Vardas682      Pavarde682          2    6    7    5    9    7    
Vardas467      Pavarde467          2    10   7    2    6    4    
Vardas338      Pavarde338          7    8    2    1    8    7    
Vardas279      Pavarde279          4    1    2    6    8    6    
Vardas919      Pavarde919          9    6    8    1    10   1    
Vardas561      Pavarde561          9    2    6    1    3    3    
Vardas693      Pavarde693          2    2    9    4    2    10   
Vardas679      Pavarde679          7    7    2    4    3    8    
Vardas582      Pavarde582          6    3    5    1    9    5    
Vardas243      Pavarde243          8    5    5    2    3    5    
Vardas178      Pavarde178          9    10   8    10   3    5    
Vardas178      Pavarde178          2    8    4    3    3    4    
Vardas340      Pavarde340          9    9    10   6    3    5    
Vardas445      Pavarde445          6    5    5    9    9    5    
Vardas134      Pavarde134          9    10   4    7    3    7    
Vardas206      Pavarde206          1    6    10   4    6    10   
Vardas417      Pavarde417          5    9    9    9    8    8    
Vardas268      Pavarde268          2    1    6    3    7    4    
Vardas918      Pavarde918          3    2    3    2    1    1    
Vardas368      Pavarde368          8    10   10   1    9    8    
Vardas459      Pavarde459          2    6    6    2    2    10   
Vardas48       Pavarde48           7    2    8    9    2    7    
Vardas551      Pavarde551          10   2    10   8    4    8    
Vardas846      Pavarde846          3    3    6    4    8    10   
Vardas607      Pavarde607          7    1    8    5    2    7    
Vardas497      Pavarde497          1    6    10   2    2    7    
Vardas484      Pavarde484          6    2    2    6    4    2    
Vardas375      Pavarde375          10   7    8    6    6    4    
Vardas300      Pavarde300          10   9    4    2    2    9    
Vardas5        Pavarde5            4    1    1    8    4    6    
Vardas113      Pavarde113          10   5    8    8    4    8    
Vardas163      Pavarde163          7    8    6    6    4    10   
Vardas329      Pavarde329          10   3    8    10   1    9    
Vardas473      Pavarde473          9    2    2    1    3    9    
Vardas270      Pavarde270          2    3    8    1    3    6    
Vardas533      Pavarde533          6    4    10   9    6    1    
Vardas561      Pavarde561          7    10   4    7    2    10   
Vardas78       Pavarde78           4    7    3    6    6    1    
Vardas134      Pavarde134          5    9    8    9    10   10   
Vardas216      Pavarde216          2    10   5    8    9    10   
Vardas172      Pavarde172          10   2    6    7    6    7    
Vardas238      Pavarde238          7    4    9    6    8    4    
Vardas121      Pavarde121          10   1    5    1    9    10   
Vardas784      Pavarde784          2    3    2    10   9    7    
Vardas129      Pavarde129          7    3    7    9    5    8    
Vardas198      Pavarde198          2    5    3    7    1    2    
Vardas999      Pavarde999          8    5    8    3    8    2    
Vardas431      Pavarde431          10   8    1    1    3    2    
Vardas346      Pavarde346          2    7    2    1    10   9    
Vardas734      Pavarde734          4    1    6    8    2    2    
Vardas103      Pavarde103          10   8    10   1    3    4    
Vardas355      Pavarde355          2    9    6    1    9    4    
Vardas215      Pavarde215          5    7    3    4    8    3    
Vardas222      Pavarde222          5    10   5    8    2    6    
Vardas168      Pavarde168          1    3    10   5    4    3    
Vardas310      Pavarde310          7    4    6    8    2    4    
Vardas134      Pavarde134          3    2    8    10   7    8    
Vardas67       Pavarde67           6    4    1    1    7    2    
Vardas375      Pavarde375          5    1    3    2    7    5    
Vardas295      Pavarde295          5    2    4    6    5    7    
Vardas825      Pavarde825          3    10   5    1    1    7    
Vardas11       Pavarde11           6    5    1    9    4    8    
Vardas897      Pavarde897          4    10   4    4    9    10   
Vardas326      Pavarde326          7    5    9    2    4    9    
Vardas994      Pavarde994          7    7    4    9    5    8    
Vardas869      Pavarde869          7    9    3    2    1    8    
Vardas682      Pavarde682          6    3    3    10   2    7    
Vardas493      Pavarde493          6    8    5    5    1    4    
Vardas20       Pavarde20           7    8    6    1    9    6    
Vardas300      Pavarde300          4    9    10   7    8    3    
Vardas757      Pavarde757          2    7    5    7    3    7    
Vardas613      Pavarde613          6    10   3    1    10   2    
Vardas971      Pavarde971          6    2    3    9    1    2    
Vardas981      Pavarde981          6    1    4    3    6    9    
Vardas885      Pavarde885          10   3    9    9    5    4    
Vardas254      Pavarde254          1    3    8    5    9    7    
Vardas877      Pavarde877          4    10   2    3    2    5    
Vardas279      Pavarde279          2    2    4    7    6    6    
Vardas621      Pavarde621          8    9    1    5    9    5    
Vardas499      Pavarde499          5    10   8    7    2    1    
Vardas449      Pavarde449          4    10   3    9    10   2    
Vardas82       Pavarde82           9    5    3    9    5    4    
Vardas652      Pavarde652          1    1    4    2    10   9    
Vardas437      Pavarde437          6    5    3    10   5    1    
Vardas479      Pavarde479          8    7    1    7    4    7    
Vardas579      Pavarde579          5    9    5    3    2    6    
Vardas212      Pavarde212          6    5    9    5    8    8    
Vardas551      Pavarde551          9    4    10   3    9    5    
Vardas457      Pavarde457          6    8    8    5    9    10   
Vardas958      Pavarde958          6    1    4    3    2    3    
Vardas707      Pavarde707          10   6    4    4    7    1    
Vardas754      Pavarde754          7    9    4    10   3    3    
Vardas2        Pavarde2            4    4    2    9    8    5    
Vardas508      Pavarde508          2    9    1    8    3    10   
Vardas602      Pavarde602          2    9    5    10   8    6    
Vardas761      Pavarde761          6    7    2    3    10   1    
Vardas757      Pavarde757          10   1    6    6    1    1    
Vardas319      Pavarde319          9    5    4    8    6    9    
Vardas717      Pavarde717          9    7    2    10   4    3    
Vardas335      Pavarde335          8    10   3    1    10   4    
Vardas816      Pavarde816          7    3    9    4    9    6    
Vardas148      Pavarde148          7    2    7    4    9    7    
Vardas795      Pavarde795          2    9    7    8    10   8    
Vardas87       Pavarde87           6    4    2    2    4    1    
Vardas961      Pavarde961          10   6    3    1    5    9    
Vardas641      Pavarde641          6    10   2    7    10   10   
Vardas128      Pavarde128          2    5    2    10   6    6    
Vardas916      Pavarde916          8    8    2    4    10   5    
Vardas680      Pavarde680          3    1    2    1    10   4    
Vardas863      Pavarde863          5    7    5    10   5    1    
Vardas951      Pavarde951          4    7    5    9    8    1    
Vardas531      Pavarde531          8    3    2    4    10   9    
Vardas118      Pavarde118          3    2    3    9    6    3    
Vardas257      Pavarde257          6    6    5    5    10   7    
Vardas308      Pavarde308          1    9    8    9    6    7    
Vardas205      Pavarde205          10   3    1    9    1    5    
Vardas198      Pavarde198          9    10   9    3    4    9    
Vardas588      Pavarde588          9    1    2    3    4    9    
Vardas90       Pavarde90           8    6    9    3    5    7    
Vardas705      Pavarde705          4    8    2    4    3    2    
Vardas257      Pavarde257          8    1    5    4    1    8    
Vardas465      Pavarde465          2    1    5    5    10   2    
Vardas658      Pavarde658          2    9    9    1    7    1    
Vardas649      Pavarde649          9    5    2    8    8    1    
Vardas662      Pavarde662          10   7    7    4    3    9    
Vardas913      Pavarde913          10   5    3    9    2    10   
Vardas740      Pavarde740          4    10   9    8    4    8    
Vardas963      Pavarde963          10   3    5    6    1    2    
Vardas555      Pavarde555          5    9    8    7    2    2    
Vardas817      Pavarde817          3    10   5    7    9    9    
Vardas257      Pavarde257          4    9    5    1    4    1    
Vardas531      Pavarde531          3    2    3    7    9    10   
Vardas782      Pavarde782          7    6    3    8    8    10   
Vardas182      Pavarde182          2    4    9    10   7    7    
Vardas136      Pavarde136          10   8    2    5    10   7    
Vardas999      Pavarde999          4    4    1    2    3    7    
Vardas752      Pavarde752          5    9    3    1    4    6    
Vardas873      Pavarde873          8    6    10   10   1    1    
Vardas312      Pavarde312          1    2    2    9    9    1    
Vardas698      Pavarde698          5    3    7    4    6    5    
Vardas107      Pavarde107          10   10   3    3    9    6    
Vardas767      Pavarde767          1    10   5    5    2    3    
Vardas63       Pavarde63           3    10   6    7    2    6    
Vardas397      Pavarde397          3    4    5    8    3    9    
Vardas210      Pavarde210          7    3    10   8    5    4    
Vardas994      Pavarde994          1    1    10   5    7    7    
Vardas393      Pavarde393          9    2    2    9    3    2    
Vardas547      Pavarde547          3    2    4    2    8    3    
Vardas553      Pavarde553          8    10   8    4    9    5    
Vardas668      Pavarde668          9    9    4    7    8    9    
Vardas636      Pavarde636          8    1    1    7    8    9    
Vardas892      Pavarde892          3    9    10   8    6    6    
Vardas605      Pavarde605          3    4    3    9    2    10   
Vardas909      Pavarde909          2    2    3    2    8    4    
Vardas906      Pavarde906          2    9    10   7    7    3    
Vardas940      Pavarde940          1    1    3    5    5    4    
Vardas718      Pavarde718          9    10   3    4    5    3    
Vardas978      Pavarde978          6    3    2    9    1    6    
Vardas943      Pavarde943          9    1    6    8    4    9    
Vardas412      Pavarde412          9    5    6    2    9    9    
Vardas323      Pavarde323          5    1    5    9    8    10   
Vardas840      Pavarde840          3    4    2    5    5    2    
Vardas220      Pavarde220          3    7    5    4    3    3    
Vardas689      Pavarde689          5    9    9    4    2    9    
Vardas293      Pavarde293          7    3    9    10   8    8    
Vardas369      Pavarde369          4    2    10   9    2    10   
Vardas20       Pavarde20           7    2    9    6    1    1    
Vardas227      Pavarde227          4    3    9    1    6    5    
Vardas647      Pavarde647          9    5    10   1    6    1    
Vardas430      Pavarde430          10   4    6    6    1    8    
Vardas566      Pavarde566          3    1    1    10   7    6    
Vardas129      Pavarde129          1    2    10   7    3    4    
Vardas646      Pavarde646          2    7    4    9    9    2    
Vardas214      Pavarde214          8    3    8    7    1    8    
Vardas75       Pavarde75           1    8    6    1    10   4    
Vardas651      Pavarde651          6    6    10   2    9    3    
Vardas436      Pavarde436          3    6    5    4    3    8    
Vardas518      Pavarde518          7    2    7    8    10   3    
Vardas121      Pavarde121          8    2    10   2    6    10   
Vardas719      Pavarde719          5    8    7    2    5    9    
Vardas882      Pavarde882          8    4    5    5    10   9    
Vardas105      Pavarde105          7    4    6    2    3    2    
Vardas728      Pavarde728          7    1    1    1    4    8    
Vardas216      Pavarde216          7    8    8    7    9    6    
Vardas269      Pavarde269          8    3    3    4    9    2    
Vardas401      Pavarde401          4    4    4    3    3    1    
Vardas331      Pavarde331          5    9    7    6    6    7    
Vardas187      Pavarde187          10   2    6    6    9    3    
Vardas625      Pavarde625          6    5    3    5    6    4    
Vardas398      Pavarde398          5    9    10   9    3    10   
Vardas426      Pavarde426          8    8    8    1    1    4    
Vardas268      Pavarde268          2    10   2    9    10   1    
Vardas157      Pavarde157          6    10   8    4    4    3    
Vardas126      Pavarde126          6    3    7    1    6    2    
Vardas959      Pavarde959          2    6    6    3    8    6    
Vardas713      Pavarde713          6    5    1    3    10   10   
Vardas38       Pavarde38           10   2    6    7    10   10   
Vardas318      Pavarde318          5    7    6    2    2    1    
Vardas38       Pavarde38           5    4    8    9    6    5    
Vardas565      Pavarde565          9    4    10   3    3    1    
Vardas879      Pavarde879          10   10   9    3    9    10   
Vardas16       Pavarde16           6    2    8    10   8    4    
Vardas58       Pavarde58           7    2    9    3    7    5    
Vardas31       Pavarde31           8    4    5    5    7    6    
Vardas719      Pavarde719          7    8    3    6    9    6    
Vardas69       Pavarde69           5    2    2    4    9    6    
Vardas836      Pavarde836          9    10   7    6    5    9    
Vardas59       Pavarde59           10   2    1    5    7    6    
Vardas740      Pavarde740          1    6    6    2    1    5    
Vardas149      Pavarde149          4    8    5    7    5    6    
Vardas517      Pavarde517          5    7    6    5    9    4    
Vardas345      Pavarde345          10   4    1    7    8    7    
Vardas224      Pavarde224          9    8    3    3    5    4    
Vardas827      Pavarde827          3    6    6    3    8    1    
Vardas207      Pavarde207          6    4    7    3    3    5    
Vardas693      Pavarde693          9    9    10   7    8    9    
Vardas946      Pavarde946          7    10   3    3    7    1    
Vardas310      Pavarde310          3    6    5    2    9    4    
Vardas623      Pavarde623          4    7    2    10   1    3    
Vardas783      Pavarde783          7    7    7    3    6    5    
Vardas383      Pavarde383          5    7    6    5    7    10   
Vardas206      Pavarde206          6    5    7    9    4    10   
Vardas527      Pavarde527          3    6    5    9    10   10   
Vardas907      Pavarde907          1    3    6    6    1    1    
Vardas81       Pavarde81           2    1    4    6    7    9    
Vardas507      Pavarde507          5    6    4    3    5    7    
Vardas866      Pavarde866          2    9    7    8    6    9    
Vardas875      Pavarde875          3    9    2    2    9    3    
Vardas247      Pavarde247          8    9    3    3    8    6    
Vardas812      Pavarde812          7    1    8    4    10   4    
Vardas672      Pavarde672          10   7    1    2    6    5    
Vardas787      Pavarde787          2    6    9    4    6    3    
Vardas839      Pavarde839          8    4    2    1    1    6    
Vardas894      Pavarde894          1    7    3    1    7    9    
Vardas459      Pavarde459          10   5    4    1    1    4    
Vardas598      Pavarde598          4    9    4    4    3    9    
Vardas904      Pavarde904          2    2    9    9    1    4    
Vardas371      Pavarde371          7    1    6    3    9    3    
Vardas706      Pavarde706          3    1    2    8    7    7    
Vardas607      Pavarde607          2    3    3    5    7    2    
Vardas995      Pavarde995          8    6    2    7    2    3    
Vardas390      Pavarde390          5    8    10   3    8    7    
Vardas805      Pavarde805          6    3    6    6    1    3    
Vardas41       Pavarde41           7    2    7    1    5    5    
Vardas235      Pavarde235          10   5    4    7    9    10   
Vardas171      Pavarde171          6    10   10   7    2    8    
Vardas192      Pavarde192          4    8    3    8    10   7    
Vardas91       Pavarde91           2    7    4    2    3    1    
Vardas259      Pavarde259          10   10   2    6    2    6    
Vardas796      Pavarde796          10   2    4    4    10   7    
Vardas901      Pavarde901          5    4    7    10   3    5    
Vardas950      Pavarde950          9    9    5    2    4    1    
Vardas305      Pavarde305          4    1    7    7    4    9    
Vardas145      Pavarde145          3    1    8    3    9    5    
Vardas236      Pavarde236          3    6    6    4    2    8    
Vardas153      Pavarde153          4    1    1    3    8    2    
Vardas280      Pavarde280          7    8    2    2    3    1    
Vardas231      Pavarde231          6    3    9    2    1    1    
Vardas533      Pavarde533          4    3    8    7    4    6    
Vardas511      Pavarde511          4    6    1    3    5    7    
Vardas234      Pavarde234          8    6    9    9    4    7    
Vardas508      Pavarde508          1    9    5    8    3    6    
Vardas752      Pavarde752          5    5    10   4    10   10   
Vardas655      Pavarde655          9    8    5    6    7    10   
Vardas383      Pavarde383          7    4    2    6    7    2    
Vardas353      Pavarde353          9    5    7    6    3    2    
Vardas411      Pavarde411          7    5    8    2    2    9    
Vardas852      Pavarde852          6    2    4    8    8    8    
Vardas16       Pavarde16           2    6    2    8    4    5    
Vardas33       Pavarde33           3    10   4    7    4    6    
Vardas236      Pavarde236          3    3    4    7    5    8    
Vardas493      Pavarde493          10   8    3    5    5    10   
Vardas232      Pavarde232          1    7    5    3    8    5    
Vardas305      Pavarde305          3    10   6    7    5    9    
Vardas480      Pavarde480          2    6    7    5    4    6    
Vardas864      Pavarde864          7    7    7    6    6    2    
Vardas884      Pavarde884          3    3    9    1    10   6    
Vardas649      Pavarde649          7    6    10   8    9    8    
Vardas461      Pavarde461          10   10   1    4    5    6    
Vardas626      Pavarde626          4    6    8    2    1    1    
Vardas529      Pavarde529          7    3    9    7    5    8    
Vardas738      Pavarde738          5    5    7    9    3    7    
Vardas324      Pavarde324          6    7    2    3    5    3    
Vardas746      Pavarde746          6    10   3    5    7    9    
Vardas245      Pavarde245          7    8    4    4    2    4    
Vardas832      Pavarde832          8    3    1    2    5    3    
Vardas362      Pavarde362          4    9    3    7    10   2    
Vardas814      Pavarde814          6    9    5    8    4    2    
Vardas401      Pavarde401          9    1    6    1    2    5    
Vardas177      Pavarde177          8    5    2    7    10   6    
Vardas823      Pavarde823          6    2    8    10   7    5    
Vardas22       Pavarde22           1    8    10   6    8    5    
Vardas319      Pavarde319          9    6    9    5    8    4    
Vardas702      Pavarde702          10   1    9    5    8    5    
Vardas231      Pavarde231          4    8    5    8    5    3    
Vardas72       Pavarde72           6    9    8    4    3    1    
Vardas295      Pavarde295          7    8    4    9    7    1    
Vardas704      Pavarde704          4    2    2    4    4    2    
Vardas520      Pavarde520          3    5    8    3    8    8    
Vardas651      Pavarde651          2    4    10   7    10   4    
Vardas951      Pavarde951          3    10   5    8    1    7    
Vardas607      Pavarde607          5    8    8    9    8    5    
Vardas564      Pavarde564          4    9    5    10   6    5    
Vardas367      Pavarde367          4    9    9    3    3    1    
Vardas411      Pavarde411          9    6    7    7    5    10   
Vardas287      Pavarde287          8    7    9    5    8    8    
Vardas776      Pavarde776          3    6    9    5    10   7    
Vardas396      Pavarde396          4    1    1    2    7    6    
Vardas378      Pavarde378          1    6    1    4    8    8    
Vardas108      Pavarde108          5    4    7    7    9    8    
Vardas908      Pavarde908          9    3    9    7    1    1    
Vardas730      Pavarde730          5    2    6    2    3    1    
Vardas466      Pavarde466          10   5    8    5    8    9    
Vardas112      Pavarde112          9    10   7    5    9    8    
Vardas253      Pavarde253          6    10   10   1    6    5    
Vardas825      Pavarde825          6    5    7    8    4    4    
Vardas141      Pavarde141          10   10   3    2    1    5    
Vardas522      Pavarde522          1    1    2    7    2    10   
Vardas369      Pavarde369          3    1    6    10   1    8    
Vardas915      Pavarde915          2    2    6    7    1    8    
Vardas253      Pavarde253          10   9    3    3    2    1    
Vardas177      Pavarde177          2    5    3    7    9    10   
Vardas338      Pavarde338          10   6    3    6    8    8    
Vardas710      Pavarde710          1    2    7    9    5    8    
Vardas437      Pavarde437          7    4    8    8    4    8    
Vardas865      Pavarde865          1    9    10   4    5    10   
Vardas180      Pavarde180          10   9    6    2    3    6    
Vardas229      Pavarde229          3    8    5    9    1    4    
Vardas984      Pavarde984          4    8    5    3    6    2    
Vardas516      Pavarde516          6    6    3    5    5    3    
Vardas667      Pavarde667          1    7    4    6    4    1    
Vardas449      Pavarde449          6    6    1    7    5    3    
Vardas150      Pavarde150          10   2    7    2    6    2    
Vardas820      Pavarde820          4    1    3    2    3    5    
Vardas944      Pavarde944          3    5    10   2    1    5    
Vardas860      Pavarde860          5    3    2    5    4    4    
Vardas957      Pavarde957          1    6    8    8    7    10   
Vardas144      Pavarde144          9    7    8    8    1    1    
Vardas891      Pavarde891          3    2    10   8    5    8    
Vardas54       Pavarde54           9    5    8    2    4    4    
Vardas77       Pavarde77           10   3    5    10   3    2    
Vardas341      Pavarde341          4    8    7    1    2    4    
Vardas782      Pavarde782          10   4    5    6    4    8    
Vardas516      Pavarde516          6    10   5    4    8    9    
Vardas16       Pavarde16           2    1    6    1    6    3    
Vardas615      Pavarde615          5    7    8    7    2    10   
Vardas88       Pavarde88           1    4    3    10   7    5    
Vardas677      Pavarde677          3    4    4    10   10   1    
Vardas473      Pavarde473          8    3    8    10   5    10   
Vardas880      Pavarde880          1    8    2    8    3    2    
Vardas72       Pavarde72           4    9    2    8    7    7    
Vardas926      Pavarde926          8    5    9    2    9    6    
Vardas571      Pavarde571          2    2    4    9    9    6    
Vardas624      Pavarde624          4    1    3    9    7    10   
Vardas644      Pavarde644          3    1    2    8    5    4    
Vardas408      Pavarde408          5    8    1    3    5    7    
Vardas532      Pavarde532          6    4    4    3    4    2    
Vardas341      Pavarde341          5    7    9    6    1    9    
Vardas561      Pavarde561          10   3    7    4    3    7    
Vardas1000     Pavarde1000         2    1    3    1    1    1    
Vardas625      Pavarde625          6    9    8    6    2    6    
Vardas381      Pavarde381          10   1    1    7    7    9    
Vardas236      Pavarde236          4    4    10   7    6    6    
Vardas232      Pavarde232          9    9    7    5    1    7    
Vardas900      Pavarde900          3    4    10   10   7    8    
Vardas273      Pavarde273          1    6    1    9    3    3    
Vardas753      Pavarde753          2    2    7    9    1    3    
Vardas516      Pavarde516          9    1    7    7    5    10   
Vardas453      Pavarde453          1    2    2    4    4    7    
Vardas548      Pavarde548          7    6    9    1    8    3    
Vardas298      Pavarde298          1    5    7    6    7    7    
Vardas391      Pavarde391          5    8    1    8    3    2    
Vardas46       Pavarde46           2    8    2    3    1    3    
Vardas547      Pavarde547          8    10   2    7    8    6    
Vardas219      Pavarde219          7    8    7    8    7    2    
Vardas614      Pavarde614          7    1    2    7    5    2    
Vardas746      Pavarde746          4    9    5    8    9    6    
Vardas503      Pavarde503          7    2    4    2    5    9    
Vardas429      Pavarde429          2    8    7    2    6    7    
Vardas621      Pavarde621          2    4    7    7    8    5    
Vardas264      Pavarde264          9    5    6    1    1    8    
Vardas978      Pavarde978          2    4    2    2    3    9    
Vardas409      Pavarde409          4    1    6    3    5    10   
Vardas1000     Pavarde1000         6    5    7    1    3    3    
Vardas19       Pavarde19           3    10   6    9    4    1    
Vardas398      Pavarde398          7    7    7    10   6    6    
Vardas118      Pavarde118          3    9    5    7    3    9    
Vardas549      Pavarde549          4    1    2    8    8    5    
Vardas860      Pavarde860          2    10   8    4    10   6    
Vardas651      Pavarde651          4    8    6    3    8    1    
Vardas916      Pavarde916          8    6    5    10   9    1    
Vardas936      Pavarde936          9    3    10   3    5    3    
Vardas251      Pavarde251          9    10   10   9    2    6    
Vardas450      Pavarde450          8    3    5    5    6    4    
Vardas346      Pavarde346          7    7    8    7    3    7    
Vardas655      Pavarde655          5    3    7    7    3    1    
Vardas730      Pavarde730          6    9    9    3    5    2    
Vardas741      Pavarde741          2    4    6    1    6    8    
Vardas487      Pavarde487          6    9    2    7    8    1    
Vardas167      Pavarde167          10   6    8    3    2    2    
Vardas875      Pavarde875          10   7    2    6    5    1    
Vardas658      Pavarde658          1    6    4    1    9    8    
Vardas437      Pavarde437          8    10   10   6    5    8    
Vardas717      Pavarde717          5    7    6    5    4    5    
Vardas732      Pavarde732          7    1    3    7    3    3    
Vardas799      Pavarde799          2    6    5    10   3    4    
Vardas939      Pavarde939          5    5    4    3    3    4    
Vardas337      Pavarde337          8    7    8    9    5    1    
Vardas921      Pavarde921          8    3    4    2    6    8    
Vardas519      Pavarde519          10   8    8    5    9    1    
Vardas611      Pavarde611          10   2    8    4    4    3    
Vardas40       Pavarde40           6    1    8    4    9    3    
Vardas82       Pavarde82           10   6    1    1    5    5    
Vardas527      Pavarde527          6    7    6    9    3    5    
Vardas666      Pavarde666          2    6    3    7    4    1    
Vardas810      Pavarde810          5    9    5    10   7    1    
Vardas957      Pavarde957          8    3    8    2    3    2    
Vardas938      Pavarde938          4    4    3    5    4    4    
Vardas799      Pavarde799          5    2    6    3    1    3    
Vardas163      Pavarde163          5    1    6    10   2    1    
Vardas989      Pavarde989          3    8    6    2    3    6    
Vardas187      Pavarde187          4    10   5    4    3    5    
Vardas911      Pavarde911          1    9    2    5    10   5    
Vardas341      Pavarde341          2    1    10   7    5    10   
Vardas356      Pavarde356          4    7    2    2    7    1    
Vardas595      Pavarde595          1    2    3    5    9    8    
Vardas87       Pavarde87           7    6    2    8    2    8    
Vardas133      Pavarde133          6    3    8    2    3    1    
Vardas14       Pavarde14           4    5    6    4    6    1    
Vardas105      Pavarde105          4    3    1    8    8    5    
Vardas761      Pavarde761          5    4    5    1    9    4    
Vardas21       Pavarde21           10   5    8    4    7    1    
Vardas200      Pavarde200          6    1    2    5    10   8    
Vardas658      Pavarde658          7    8    10   1    9    3    
Vardas20       Pavarde20           10   3    6    10   10   9    
Vardas250      Pavarde250          1    3    2    2    5    10   
Vardas591      Pavarde591          5    7    9    1    5    4    
Vardas809      Pavarde809          9    3    3    7    9    2    
Vardas86       Pavarde86           7    3    2    7    3    2    
Vardas678      Pavarde678          10   4    9    3    9    2    
Vardas36       Pavarde36           9    2    1    3    4    8    
Vardas200      Pavarde200          9    10   6    7    6    7    
Vardas780      Pavarde780          10   2    6    2    4    1    
Vardas456      Pavarde456          4    1    5    9    4    4    
Vardas343      Pavarde343          6    10   5    7    6    1    
Vardas111      Pavarde111          8    1    2    7    1    10   
Vardas788      Pavarde788          3    7    4    5    9    9    
Vardas706      Pavarde706          9    3    4    9    9    7    
Vardas674      Pavarde674          5    8    3    5    1    5    
Vardas173      Pavarde173          5    5    7    10   8    2    
Vardas1        Pavarde1            4    8    5    4    2    5    
Vardas348      Pavarde348          5    5    9    1    7    5    
Vardas800      Pavarde800          1    1    8    3    4    10   
Vardas516      Pavarde516          2    8    6    6    9    9    
Vardas864      Pavarde864          7    7    7    4    2    10   
Vardas967      Pavarde967          5    6    8    5    6    9    
Vardas598      Pavarde598          1    4    9    5    5    8    
Vardas17       Pavarde17           8    8    5    6    1    8    
Vardas49       Pavarde49           8    2    10   8    3    6    
Vardas988      Pavarde988          7    9    8    1    9    8    
Vardas906      Pavarde906          3    8    4    1    7    9    
